sigx[m]	Betax[m]	Name	tilt2[rad]	Angle[rad]	Material	Betay[m]	Thickness[m]	Halfgap[m]	tilt1[rad]	sigy[m]	Length[m]	ID	nsig
0.00058559	46.98905147	TCTH.4L2.B1	0	0	W	48.35207621	0.025	0.0076126453	0	0.00059402	1	57	13
0.00059391	48.33474767	TCTVA.4L2.B1	0	1.571	W	46.53603881	0.025	0.0075758604	0	0.00058276	1	61	13
0.00089192	109.0082521	TDI.4L2.B1.1	0	1.571	Cu300K_in_TDI	44.58516813	2e-06	0.5698421998	0	0.00057041	2.826	75	999
0.00089192	109.0082521	TDI.4L2.B1.1	0	1.571	Ti	44.58516813	1e-07	0.5698421998	0	0.00057041	2.826	75	999
0.00089192	109.0082521	TDI.4L2.B1.1	0	1.571	graphite	44.58516813	0.054	0.5698421998	0	0.00057041	2.826	75	999
0.00089192	109.0082521	TDI.4L2.B1.2	0	1.571	Ti_in_TDI	44.58516813	1e-06	0.5698421998	0	0.00057041	0.6	75	999
0.00089192	109.0082521	TDI.4L2.B1.2	0	1.571	Al	44.58516813	0.054	0.5698421998	0	0.00057041	0.6	75	999
0.00089192	109.0082521	TDI.4L2.B1.3	0	1.571	CuCr1Zr	44.58516813	0.054	0.5698421998	0	0.00057041	0.7	75	999
0.00061846	52.4131289	TCLIA.4R2	0	1.571	C	128.4093107	0.033	0.9670694023	0	0.00096804	1	69	999
0.0013795	260.7521531	TCLIB.6R2.B1	0	1.571	CFC	37.39207161	0.025	0.5218542295	0	0.00052238	1	70	999
0.00097971	131.5240341	TCP.6L3.B1	0	0	CFC	144.6957233	0.025	0.0078376605	0	0.0010276	0.6	1	8
0.00063128	54.6075033	TCSG.5L3.B1	0	0	CFC	298.6333708	0.025	0.0058708774	0	0.0014763	1	2	9.3
0.00043736	26.21106918	TCSG.4R3.B1	0	0	CFC	395.1678633	0.025	0.0040674219	0	0.0016982	1	4	9.3
0.00051162	35.86801714	TCSG.A5R3.B1	0	2.98102	CFC	344.0830579	0.025	0.0052547273	0	0.0015846	1	6	9.3
0.00057647	45.53759656	TCSG.B5R3.B1	0	0.1989675347	CFC	312.6517522	0.025	0.0059438441	0	0.0015105	1	8	9.3
0.0010199	142.5240173	TCLA.A5R3.B1	0	1.571	W	175.9987273	0.025	0.0135997182	0	0.0011333	1	46	12
0.0010519	151.6089912	TCLA.B5R3.B1	0	0	W	168.6733537	0.025	0.0126222747	0	0.0011095	1	47	12
0.00097186	129.4249059	TCLA.6R3.B1	0	0	W	168.7028453	0.025	0.0116622965	0	0.0011096	1	48	12
0.00069586	66.35152854	TCLA.7R3.B1	0	0	W	96.1016448	0.025	0.0083502718	0	0.00083745	1	49	12
0.0010819	160.3970934	TCTH.4L5.B1	0	0	W	79.49949438	0.025	0.0140648629	0	0.00076169	1	58	13
0.0010735	157.9151189	TCTVA.4L5.B1	0	1.571	W	79.67561118	0.025	0.0099128827	0	0.00076253	1	59	13
0.00188	484.2939381	TCDQA.A4R6.B	0	0	CU300K_in_TDI	161.3884342	5e-06	0.0150396734	0	0.0010853	3	71	8
0.00188	484.2939381	TCDQA.A4R6.B	0	0	CFC	161.3884342	0.035	0.0150396734	0	0.0010853	3	71	8
0.00188	484.2939381	TCDQA.A4R6.B	0	0	graphite	161.3884342	0.04	0.0150396734	0	0.0010853	3	71	8
0.0019011	495.2541026	TCDQA.B4R6.B	0	0	CU300K_in_TDI	165.4589294	5e-06	0.0152089044	0	0.0010989	3	72	8
0.0019011	495.2541026	TCDQA.B4R6.B	0	0	CFC	165.4589294	0.035	0.0152089044	0	0.0010989	3	72	8
0.0019011	495.2541026	TCDQA.B4R6.B	0	0	graphite	165.4589294	0.04	0.0152089044	0	0.0010989	3	72	8
0.0019224	506.3883707	TCDQA.C4R6.B	0	0	CU300K_in_TDI	169.7343808	5e-06	0.0153789169	0	0.001113	3	73	8
0.0019224	506.3883707	TCDQA.C4R6.B	0	0	CFC	169.7343808	0.035	0.0153789169	0	0.001113	3	73	8
0.0019224	506.3883707	TCDQA.C4R6.B	0	0	graphite	169.7343808	0.04	0.0153789169	0	0.001113	3	73	8
0.0019459	518.8532298	TCSG.4R6.B1	0	0	CFC	174.6805858	0.025	0.0136211635	0	0.0011291	1	74	7
0.0010768	158.8711591	TCP.D6L7.B1	0	1.571	CFC	78.26336398	0.025	0.0043077255	0	0.00075574	0.6	10	5.7
0.0010481	150.5287315	TCP.C6L7.B1	0	0	CFC	82.76323954	0.025	0.0059741821	0	0.00077716	0.6	11	5.7
0.0010196	142.4630179	TCP.B6L7.B1	0	2.215	CFC	87.48830496	0.025	0.0050443078	0	0.00079904	0.6	12	5.7
0.00053942	39.87232383	TCSG.A6L7.B1	0	2.46266	CFC	226.9256225	0.025	0.0061013172	0	0.0012869	1	16	6.7
0.0010805	159.9836841	TCSG.B5L7.B1	0	2.50455	CFC	166.5127509	0.025	0.0072915456	0	0.0011023	1	18	6.7
0.0011649	185.9589351	TCSG.A5L7.B1	0	0.71035	CFC	145.9288089	0.025	0.0074392787	0	0.001032	1	20	6.7
0.0015587	332.918041	TCSG.D4L7.B1	0	1.5708	CFC	68.86349818	0.025	0.0047496679	0	0.00070891	1	22	6.7
0.0010099	139.7497098	TCSG.B4L7.B1	0	0	CFC	130.9847329	0.025	0.0067661896	0	0.0009777	1	26	6.7
0.000969	128.6647001	TCSG.A4L7.B1	0	2.34921	CFC	141.2833193	0.025	0.0066517439	0	0.0010154	1	28	6.7
0.00092906	118.2763697	TCSG.A4R7.B1	0	0.80809	CFC	152.2068727	0.025	0.0066750758	0	0.0010539	1	30	6.7
0.00094299	121.8492318	TCSG.B5R7.B1	0	2.46964	CFC	267.5459773	0.025	0.0076428803	0	0.0013973	1	36	6.7
0.0012493	213.8741973	TCSG.D5R7.B1	0	0.8971	CFC	158.5319347	0.025	0.007680552	0	0.0010756	1	40	6.7
0.0013273	241.3955724	TCSG.E5R7.B1	0	2.27765	CFC	136.099303	0.025	0.0076898967	0	0.0009966	1	42	6.7
0.0015653	335.748065	TCSG.6R7.B1	0	0.00873	CFC	47.3585697	0.025	0.010487241	0	0.00058789	1	44	6.7
0.0014724	297.0578035	TCLA.A6R7.B1	0	1.571	W	48.15761503	0.025	0.005928249	0	0.00059282	1	50	10
0.0010788	159.489869	TCLA.B6R7.B1	0	0	W	76.39087776	0.025	0.0107884848	0	0.00074665	1	51	10
0.00070759	68.60832001	TCLA.C6R7.B1	0	1.571	W	151.8889477	0.025	0.0105282693	0	0.0010528	1	52	10
0.00068895	65.0408409	TCLA.D6R7.B1	0	0	W	157.9175239	0.025	0.0068894884	0	0.0010735	1	53	10
